id	symbol	desc	biotype	num_transcripts	num_coding_transcripts	num_introns	H+.M+.25.0_vs_H+.M+.37.10.worst_fdr	H+.M+.25.0_vs_H+.M+.37.10.log2fc	H+.M+.25.0_vs_H+.M+.37.40.worst_fdr	H+.M+.25.0_vs_H+.M+.37.40.log2fc	H+.M+.25.0_vs_H+.M+.42.10.worst_fdr	H+.M+.25.0_vs_H+.M+.42.10.log2fc	H+.M+.25.0_vs_H+.M+.42.40.worst_fdr	H+.M+.25.0_vs_H+.M+.42.40.log2fc	H+.M-.25.0_vs_H+.M-.37.10.worst_fdr	H+.M-.25.0_vs_H+.M-.37.10.log2fc	H+.M-.25.0_vs_H+.M-.37.40.worst_fdr	H+.M-.25.0_vs_H+.M-.37.40.log2fc	H+.M-.25.0_vs_H+.M-.42.10.worst_fdr	H+.M-.25.0_vs_H+.M-.42.10.log2fc	H+.M-.25.0_vs_H+.M-.42.40.worst_fdr	H+.M-.25.0_vs_H+.M-.42.40.log2fc	H-.M+.25.0_vs_H-.M+.37.10.worst_fdr	H-.M+.25.0_vs_H-.M+.37.10.log2fc	H-.M+.25.0_vs_H-.M+.37.40.worst_fdr	H-.M+.25.0_vs_H-.M+.37.40.log2fc	H-.M+.25.0_vs_H-.M+.42.10.worst_fdr	H-.M+.25.0_vs_H-.M+.42.10.log2fc	H-.M+.25.0_vs_H-.M+.42.40.worst_fdr	H-.M+.25.0_vs_H-.M+.42.40.log2fc	H-.M-.25.0_vs_H-.M-.37.10.worst_fdr	H-.M-.25.0_vs_H-.M-.37.10.log2fc	H-.M-.25.0_vs_H-.M-.37.40.worst_fdr	H-.M-.25.0_vs_H-.M-.37.40.log2fc	H-.M-.25.0_vs_H-.M-.42.10.worst_fdr	H-.M-.25.0_vs_H-.M-.42.10.log2fc	H-.M-.25.0_vs_H-.M-.42.40.worst_fdr	H-.M-.25.0_vs_H-.M-.42.40.log2fc
YFL014W	HSP12	Plasma membrane protein involved in maintaining membrane organization in stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; regulated by HOG and Ras-Pka pathways	protein_coding	1	1	0	0.035	2.014	0.025	1.793	0.024	2.063	0.008	2.457	0.008	3.617	5.282e-04	3.827	0.007	2.709	0.004	3.301	0.009	1.559	0.001	1.912	0.020	1.311	6.534e-04	2.089	0.007	2.873	3.352e-04	4.372	0.003	3.099	3.858e-04	3.416
YPR180W	AOS1	Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Uba2p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability	protein_coding	1	1	0	0.765	0.143	1.000	0.000e+00	1.000	-0.016	0.965	0.000e+00	0.292	0.298	0.116	0.342	0.356	0.258	0.255	0.251	0.182	0.507	0.218	0.527	1.000	0.000e+00	1.000	0.000e+00	1.000	0.129	0.606	0.305	1.000	0.000e+00	1.000	0.000e+00
YAL063C	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation	protein_coding	1	1	0	0.135	0.429	0.009	0.488	0.143	0.325	6.424e-04	0.756	0.780	0.098	0.044	0.320	1.000	0.000e+00	0.767	0.090	1.000	0.094	0.023	0.658	0.081	0.725	0.094	0.529	1.000	0.099	0.013	0.686	0.202	0.489	0.101	0.603
YHR208W	BAT1	Mitochondrial branched-chain amino acid (BCAA) aminotransferase, preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase	protein_coding	1	1	0	0.141	-0.297	0.340	-0.233	0.291	-0.249	5.339e-05	-2.791	0.165	-0.263	0.014	-0.412	0.103	-0.447	8.612e-05	-2.227	0.056	-0.608	1.988e-04	-1.617	0.189	-0.420	1.115e-04	-2.542	0.790	-0.228	4.891e-04	-1.491	0.079	-0.502	1.727e-04	-2.088
YJR120W	YJR120W	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	2.970e-04	2.317	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.031	1.726	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.010	1.934	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.219	0.940	1.000	0.000e+00
YER007C-A	TMA20	Protein of unknown function that associates with ribosomes and has a putative RNA binding domain; interacts with Tma22p; null mutant exhibits translation defects; has homology to human oncogene MCT-1	protein_coding	1	1	1	0.015	-0.856	0.002	-0.735	0.184	-0.300	5.339e-05	-2.259	0.100	-0.349	0.185	-0.213	0.756	-0.136	4.133e-04	-1.136	0.745	-0.424	0.040	-0.932	1.000	-0.246	0.026	-1.247	1.000	-0.179	0.364	-0.314	1.000	-0.098	0.086	-0.612
YFL015C	YFL015C	Dubious open reading frame unlikely to encode a protein; partially overlaps dubious ORF YFL015W-A; YFL015C is not an essential gene	protein_coding	1	1	0	6.851e-04	4.396	3.771e-04	4.455	1.000	0.000e+00	1.950e-04	6.511	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	6.510e-04	4.124	1.988e-04	4.719	2.649e-04	4.621	1.446e-04	6.101	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YOR338W	YOR338W	hypothetical protein	protein_coding	1	1	0	0.042	-1.391	0.013	-1.157	1.000	0.000e+00	1.000	-0.115	0.004	-2.175	0.042	-1.321	0.057	1.022	0.159	0.665	0.359	-0.874	0.089	-1.317	1.000	-0.170	1.000	0.000e+00	0.002	-3.097	0.005	-2.281	1.000	0.029	0.579	0.434
YMR198W	CIK1	Kinesin-associated protein required for both karyogamy and mitotic spindle organization, interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; has similarity to Vik1p	protein_coding	1	1	0	1.000	0.000e+00	0.836	-0.186	0.767	-0.186	1.000	0.000e+00	0.040	0.970	1.000	0.000e+00	0.505	0.258	0.452	0.195	0.792	0.179	0.412	-0.501	1.000	0.000e+00	0.790	0.214	1.000	0.000e+00	0.879	-0.184	1.000	0.000e+00	0.388	0.503
YMR065W	KAR5	Protein required for nuclear membrane fusion during karyogamy, localizes to the membrane with a soluble portion in the endoplasmic reticulum lumen, may form a complex with Jem1p and Kar2p; expression of the gene is regulated by pheromone	protein_coding	1	1	0	0.036	-1.643	0.161	-0.603	0.142	-0.712	0.002	-1.513	1.000	0.000e+00	1.000	0.000e+00	1.000	-0.201	0.466	-0.433	1.000	0.000e+00	1.000	-0.484	1.000	-0.797	1.000	0.000e+00	1.000	0.000e+00	1.000	-0.117	1.000	0.000e+00	1.000	-0.017
